SP	SP
껟	gg e T
껠	gg e L
껡	gg e L
껢	gg e L
껣	gg e L
껤	gg e L
껥	gg e L
껦	gg e L
껧	gg e L
껨	gg e M
껩	gg e P
껪	gg e P
껫	gg e T
껬	gg e T
껭	gg e NG
껮	gg e T
껯	gg e T
껰	gg e K
껱	gg e T
껲	gg e P
껳	gg e T
껴	gg yeo
껵	gg yeo K
껶	gg yeo K
껷	gg yeo K
껸	gg yeo N
껹	gg yeo N
껺	gg yeo N
껻	gg yeo T
껼	gg yeo L
껽	gg yeo L
껾	gg yeo L
껿	gg yeo L
꼀	gg yeo L
꼁	gg yeo L
꼂	gg yeo L
꼃	gg yeo L
꼄	gg yeo M
꼅	gg yeo P
꼆	gg yeo P
꼇	gg yeo T
꼈	gg yeo T
꼉	gg yeo NG
꼊	gg yeo T
꼋	gg yeo T
꼌	gg yeo K
꼍	gg yeo T
꼎	gg yeo P
꼏	gg yeo T
꼐	gg ye
꼑	gg ye K
꼒	gg ye K
꼓	gg ye K
꼔	gg ye N
꼕	gg ye N
꼖	gg ye N
꼗	gg ye T
꼘	gg ye L
꼙	gg ye L
꼚	gg ye L
꼛	gg ye L
꼜	gg ye L
꼝	gg ye L
꼞	gg ye L
꼟	gg ye L
꼠	gg ye M
꼡	gg ye P
꼢	gg ye P
꼣	gg ye T
꼤	gg ye T
꼥	gg ye NG
꼦	gg ye T
꼧	gg ye T
꼨	gg ye K
꼩	gg ye T
꼪	gg ye P
꼫	gg ye T
꼬	gg o
꼭	gg o K
꼮	gg o K
꼯	gg o K
꼰	gg o N
꼱	gg o N
꼲	gg o N
꼳	gg o T
꼴	gg o L
꼵	gg o L
꼶	gg o L
꼷	gg o L
꼸	gg o L
꼹	gg o L
꼺	gg o L
꼻	gg o L
꼼	gg o M
꼽	gg o P
꼾	gg o P
꼿	gg o T
꽀	gg o T
꽁	gg o NG
꽂	gg o T
꽃	gg o T
꽄	gg o K
꽅	gg o T
꽆	gg o P
꽇	gg o T
꽈	gg wa
꽉	gg wa K
꽊	gg wa K
꽋	gg wa K
꽌	gg wa N
꽍	gg wa N
꽎	gg wa N
꽏	gg wa T
꽐	gg wa L
꽑	gg wa L
꽒	gg wa L
꽓	gg wa L
꽔	gg wa L
꽕	gg wa L
꽖	gg wa L
꽗	gg wa L
꽘	gg wa M
꽙	gg wa P
꽚	gg wa P
